id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
10970,4,13,834229374371110912,"#EcuadorVoto2017 Escrutado: 97,2% Lenín Moreno: 39,31% Guillermo Lasso 28,24% https://t.co/Ef4PG4zy8X",TweetDeck,false,false,,,,,,,182,372,,false,es,2017-02-22 02:32:36 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:50 +0000
13961,4,13,840472109965008896,Madres de víctimas: ¿por qué nadie abrió el módulo incendiado?https://t.co/Gv9z6535Ll,TweetDeck,false,false,,,,,,,22,23,,false,es,2017-03-11 07:59:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10971,4,13,834227429577224192,¿Tienen algo que ver los disturbios en Suecia con las declaraciones de Trump? https://t.co/NnxG4wQCxt,TweetDeck,false,false,,,,,,,48,31,,false,es,2017-02-22 02:24:53 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10972,4,13,834225389358764033,Ecuatorianos impacientes exigen al CNE los resultados de la elecciónhttps://t.co/7qZgyrScEz,TweetDeck,false,false,,,,,,,205,327,,false,es,2017-02-22 02:16:46 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
13962,4,13,840470602792108033,La NASA logró localizar la desaparecida sonda lunar Chandrayaan-1 https://t.co/aazgMaA4vT,TweetDeck,false,false,,,,,,,53,27,,false,es,2017-03-11 07:53:01 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10974,4,13,834213390444806144,".@JuanPabloPozoB: ""Tendencias se mantienen, resultados siguen teniendo la misma lógica"" |Entrevista https://t.co/Ef4PG4zy8X @patriciajaniot",TweetDeck,false,false,,,,,,,80,114,,false,es,2017-02-22 01:29:05 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
10975,4,13,834208084411154433,"#EcuadorVoto2017 Escrutado: 96,9% Lenín Moreno: 39,29% Guillermo Lasso 28,26% https://t.co/Ef4PG4zy8X",TweetDeck,false,false,,,,,,,136,272,,false,es,2017-02-22 01:08:00 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
13963,4,13,840426811926310912,#Video Así fue como un fuerte viento casi se lleva a una niña https://t.co/8Bk8225nqI,TweetDeck,false,false,,,,,,,72,42,,false,es,2017-03-11 04:59:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
13964,4,13,840438137729953792,"Deponen a la presidenta de Corea del Sur, ¿ahora qué pasará? https://t.co/bpWOyraEO6",TweetDeck,false,false,,,,,,,50,53,,false,es,2017-03-11 05:44:01 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10976,4,13,834202449095311364,RT @CNNVenezuela: La Asamblea Nacional de Venezuela aprobó un acuerdo en rechazo a censura a los medios de comunicación https://t.co/vsocTH…,TweetDeck,true,false,,,,,,,0,349,,false,es,2017-02-22 00:45:37 +0000,2017-02-22 05:07:51 +0000,2017-02-22 05:07:51 +0000
